Barcode	Description	UnitRRP	CategoryID	Category
9771353647013	Outdoor Pursuits	280	531	Camping /Walking /Climbing
9770952860144	Book & Magazine Collector	350	532	Collecting
9771754568090	Elle Decoration Collections	900	532	Collecting
9771749694034	Canal & Riverboat	320	530	Boating
9770140757997	Tgo The Great Outdoors	499	531	Camping /Walking /Climbing
9770004387100	Artist	325	528	Art
9771471058067	Todays Pilot	370	529	Aviation
9770037394151	Ships Monthly	360	530	Boating
9771358520137	Climber	320	531	Camping /Walking /Climbing
9770950331158	Classic Boat	485	530	Boating
9772042249020	Trek & Mountain	375	531	Camping /Walking /Climbing
9772051589001	Uk Cache	395	531	Camping /Walking /Climbing
9780862962982	Prediction Chat Its Fate	330	532	Collecting
9770140757140	Tgo	330	531	Camping /Walking /Climbing
9770306610043	Crafts	650	528	Art
9770002267152	Aircraft Illustrated	370	529	Aviation
9772472030182	Collectors Plans Special	380	532	Collecting
9771095107844	Flight Journal	595	529	Aviation
9771747932022	Above	500	528	Art
9771764624986	Vertical	675	531	Camping /Walking /Climbing
9770962067021	Frieze	695	528	Art
9770027178181	Motorboat & Yachting	380	530	Boating
9770024071157	Leisure Painter	399	528	Art
9771077841032	Juxtapoz	375	528	Art
9771095107059	Flight Journal	310	529	Aviation
9771358520151	Climber	340	531	Camping /Walking /Climbing
9770262695160	Flypast	370	529	Aviation
9770140757188	Tgo	395	531	Camping /Walking /Climbing
9771744193006	Art Of England	390	528	Art
9780946219865	Boeing 747	399	529	Aviation
9770956662133	Stamp & Coin Mart	275	532	Collecting
9770015371181	Flight International	270	529	Aviation
9770269469146	A & I - Artists & Illustrators	395	528	Art
9770962067007	Frieze	695	528	Art
9770955709259	Airforces Monthly	460	529	Aviation
9772045333016	Hub (The)	700	528	Art
9771350145208	Camping	360	531	Camping /Walking /Climbing
9771752741015	Morison Diary	299	532	Collecting
9770300169134	Pilot	360	529	Aviation
9770958189201	Motorboats Monthly	380	530	Boating
9771476143133	Art Crazy	250	528	Art
9788497985031	Miniature Classics For Xm	995	532	Collecting
9771362031162	Canal Boat	399	530	Boating
9771749694027	Canal & Riverboat	300	530	Boating
9771358520144	Climber	330	531	Camping /Walking /Climbing
9770002267169	Aircraft Illustrated	380	529	Aviation
9780862962487	Camping Sites Guide	699	531	Camping /Walking /Climbing
9770954808007	Gibbons Stamp Monthly	300	532	Collecting
9780862962937	British Stamp Market Values	1099	532	Collecting
9771475823012	All At Sea	100	530	Boating
9771749694003	Canal & Riverboat	295	530	Boating
9770307667237	Stamp	375	532	Collecting
9770036270012	Sail	320	530	Boating
9771358520168	Climber	350	531	Camping /Walking /Climbing
9770731154084	Marine Times	250	530	Boating
9770956662164	Stamp & Coin Mart	310	532	Collecting
9771467577057	Boats & Yachts For Sale	360	530	Boating
9771744698013	B 17 Special	399	529	Aviation
9770955709167	Airforces Monthly	360	529	Aviation
9771939331008	Otaku	350	532	Collecting
9780946219995	Vulcan Airbourne	499	529	Aviation
9770015371211	Flight International	300	529	Aviation
9770300169141	Pilot	380	529	Aviation
9770956662218	Stamp Coin Mart	380	532	Collecting
9770269469092	A & I - Artists & Illustrators	295	528	Art
9771358520205	Climber	425	531	Camping /Walking /Climbing
9770955709211	Airforces Monthly	420	529	Aviation
9771077841025	Juxtapoz	350	528	Art
9772014939003	Lambo Magazine	800	528	Art
9771358520199	Climber	399	531	Camping /Walking /Climbing
9771745797036	Culture	130	528	Art
9770955709228	Airforces Monthly	430	529	Aviation
9770037394144	Ships Monthly	340	530	Boating
9770027178211	Motorboat & Yachting	410	530	Boating
9771759908022	Teddy Bear Times	450	532	Collecting
9770954808120	Gibbons Stamp Monthly	325	532	Collecting
9771744193020	Art Of England	325	528	Art
9770953275220	Magazine	420	531	Camping /Walking /Climbing
9771752861027	Elvis Official Collectors	299	532	Collecting
9772054206004	Love Craft	499	528	Art
9770957764072	Flyer	340	529	Aviation
9771362031131	Canal Boat	350	530	Boating
9771939331022	Otaku	399	532	Collecting
9771744193808	Art Of England	370	528	Art
9771362031155	Canal Boat	380	530	Boating
9780711035058	Aviation 100 Best Pictures	699	529	Aviation
9770959903165	Trail	370	531	Camping /Walking /Climbing
9770307667190	Stamp	325	532	Collecting
9781909786424	Classic Airliner	795	529	Aviation
9770958189188	Motorboats Monthly	370	530	Boating
9781785461040	Bz Fantasy Art Genius Guide	1299	528	Art
9770955709242	Airforces Monthly	450	529	Aviation
9772059251016	F-14	0	529	Aviation
9771350291080	Buy A Boat	275	530	Boating
9770957771049	Minerva	450	532	Collecting
9770951684246	Model Collector	415	532	Collecting
9770024071089	Leisure Painter	295	528	Art
9771476530049	Dinghy Sailing Magazine	350	530	Boating
9771478276044	Doll Advertiser	400	532	Collecting
9770957764089	Flyer	360	529	Aviation
9771471058074	Todays Pilot	380	529	Aviation
9771743271057	Aesthetica	475	528	Art
9771743271019	Aesthetica	450	528	Art
9770015371174	Flight International	260	529	Aviation
9771757616004	Airlines Global	499	529	Aviation
9770143246122	Sea Horse International Sailin	440	530	Boating
9770956662195	Stamp & Coin Mart	350	532	Collecting
9771350697097	Terrorizer	380	1	Unclassified
9770951132662	Froots	600	1	Unclassified
9771051740139	Usa Today	130	1	Unclassified
9770951132655	Froots	600	1	Unclassified
9770951132150	Froots	480	1	Unclassified
9770857822018	Heavy Metal	425	1	Unclassified
9771051740122	Usa Today	130	1	Unclassified
9771356259084	Classic FM	500	1	Unclassified
9770956138270	Sunday Times	150	1	Unclassified
9771356259060	Classic Fm Magazine	460	1	Unclassified
9770951132686	Froots	600	1	Unclassified
9770951132587	Froots	600	1	Unclassified
9770951132709	Froots	460	1	Unclassified
9770294805216	Tribune	130	1	Unclassified
9771051740115	Usa Today	130	1	Unclassified
9771051740047	Usa Today Thu	100	1	Unclassified
9771351019157	Mojo	460	1	Unclassified
9771352638081	Guitar Techniques	550	1	Unclassified
9770263816182	Voice (The)	90	1	Unclassified
9770791686073	Irish Independent Sun	150	1	Unclassified
9770951132716	Froots	600	1	Unclassified
9771083706035	Strategy Business	799	1	Unclassified
9771051740054	Usa Today Fri	100	1	Unclassified
9770951132143	Froots	460	1	Unclassified
9770591223119	Country Music People	350	1	Unclassified
9770965464032	Eastern Eye	70	1	Unclassified
9771051740153	Usa Today	130	1	Unclassified
9771351019164	Mojo	480	1	Unclassified
9770294805261	Intl Herald Trib Sat	130	1	Unclassified
9771051740146	Usa Today	130	1	Unclassified
9770965250123	Oldie (The)	350	1	Unclassified
9770950429077	Classical Guitar	295	1	Unclassified
9771070470093	Vibe	395	1	Unclassified
9770591223126	Country Music People	350	1	Unclassified
9771070470086	Vibe	385	1	Unclassified
9771351019140	Mojo	450	1	Unclassified
9770591223102	Country Music People	310	1	Unclassified
9771351019133	Mojo	430	1	Unclassified
9771045629099	Guitar Buyer	499	1	Unclassified
9771351019126	Mojo	420	1	Unclassified
9770959957052	Focus On Africa	325	1	Unclassified
9770957662132	Mixmag	420	1	Unclassified
9770955119119	Metal Hammer	399	1	Unclassified
9770951681092	Sound On Sound	499	1	Unclassified
9770263816083	Voice	90	1	Unclassified
9770965250130	The Oldie	375	1	Unclassified
9770955119997	Metal Hammer	499	1	Unclassified
9770791684352	Irish Independent Sat	100	1	Unclassified
9770791684345	Irish Independent Thu	100	1	Unclassified
9771356259992	Classic Fm Magazine	485	1	Unclassified
9770951132556	Froots	500	1	Unclassified
9770951132600	Froots	620	1	Unclassified
9770951132631	Froots	460	1	Unclassified
9770928843058	Time International	270	1	Unclassified
9771056348972	Nat Enq Michael Jackson Spec	299	1	Unclassified
9770951132648	Froots	600	1	Unclassified
9771049926071	Acoustic Guitar	375	1	Unclassified
9770951132136	Froots	450	1	Unclassified
9770294805421	Intl Herald Tribune Tue	170	1	Unclassified
9770857822001	Heavy Metal	399	1	Unclassified
9770951132624	Froots	620	1	Unclassified
9770294805513	Intl Herald Trib Mon	180	1	Unclassified
9770928843089	Time International	295	1	Unclassified
9771351019980	Mojo	550	1	Unclassified
9770951132679	Froots	460	1	Unclassified
9770847909002	Adbusters	400	1	Unclassified
9771350697127	Terrorizer	450	1	Unclassified
9771356259077	Classic Fm Magazine	485	1	Unclassified
9770957529954	Leopard	335	1	Unclassified
9770294805520	Intl Herald Trib Tue	180	1	Unclassified
9770955119133	Metal Hammer	475	1	Unclassified
9771355504062	Total Guitar	550	1	Unclassified
9770791684321	Irish Independent Tues	100	1	Unclassified
9771355504055	Total Guitar	499	1	Unclassified
9770957529077	Leopard	330	1	Unclassified
9770294805568	Intl Herald Trib Sat	180	1	Unclassified
9770967037104	Future Music	625	1	Unclassified
9770307176920	Financial Times Tue	100	1	Unclassified
9771356259985	Classic Fm Magazine	485	1	Unclassified
9770294805445	Intl Herald Trib Thu	50	1	Unclassified
9771051740023	Usa Today Tue	100	1	Unclassified
9770951132594	Froots	490	1	Unclassified
9770294805452	Intl Herald Trib Fri	170	1	Unclassified
9770263816007	Voice	90	1	Unclassified
9770294805469	Intl Herald Trib Sat	170	1	Unclassified
9770962860110	Gleaner (The)	70	1	Unclassified
9771051740238	Usa Today	150	1	Unclassified
9771051740313	Usa Today	170	1	Unclassified
